Pclass,Age,SibSp,Parch,Fare,Sex_male,Survived
3,23.70632884206639,1,0,16.1,1,0
1,36.0,0,0,262.375,0,1
3,17.0,0,0,7.8958,1,0
2,32.0,0,0,13.5,1,0
3,18.0,0,0,7.75,1,0
3,22.0,0,0,7.725,0,1
1,13.0,2,2,262.375,1,0
2,30.763889139468677,0,0,21.0,0,1
3,18.0,0,0,7.8792,0,1
1,47.0,0,0,42.4,1,0
1,31.0,0,0,28.5375,1,0
1,60.0,1,4,263.0,0,1
3,24.0,0,0,7.75,0,1
3,21.0,0,0,7.8958,1,0
3,29.0,0,0,7.925,0,1
1,28.5,0,0,27.7208,1,0
1,35.0,0,0,211.5,0,1
1,32.5,0,0,211.5,1,0
3,24.899524102263157,0,0,8.05,1,0
1,55.0,2,0,25.7,0,1
2,30.0,0,0,13.0,1,0
3,24.0,0,0,7.75,0,1
3,6.0,1,1,15.2458,1,0
1,67.0,1,0,221.7792,1,0
1,49.0,0,0,26.0,1,0
3,24.895408906307978,0,0,7.8958,1,0
2,32.20955074425526,0,0,10.7083,1,0
3,23.662406731151762,1,0,14.4542,1,0
3,27.0,0,0,7.8792,0,1
3,18.0,0,0,8.05,0,1
3,23.17119764015827,0,0,7.75,0,1
2,2.0,1,1,23.0,1,0
3,22.0,1,0,13.9,0,1
3,24.89218506926916,0,0,7.775,1,0
1,27.0,1,2,52.0,0,1
3,24.899524102263157,0,0,8.05,1,0
1,25.0,0,0,26.0,1,0
3,25.0,0,0,7.7958,1,0
1,76.0,1,0,78.85,0,1
3,29.0,0,0,7.925,1,0
3,20.0,0,0,7.8542,0,1
3,33.0,0,0,8.05,1,0
1,43.0,1,0,55.4417,0,1
2,27.0,1,0,26.0,1,0
3,24.891517884451524,0,0,7.75,1,0
3,26.0,0,0,7.775,1,0
3,16.0,1,1,8.5167,0,1
3,28.0,0,0,22.525,1,0
3,21.0,0,0,7.8208,1,0
3,24.891517884451524,0,0,7.75,1,0
3,24.91720449993052,0,0,8.7125,1,0
2,18.5,0,0,13.0,1,0
2,41.0,0,0,15.0458,1,0
3,23.17197691202527,0,0,7.7792,0,1
1,36.0,0,0,31.6792,0,1
3,18.5,0,0,7.2833,0,1
1,63.0,1,0,221.7792,0,1
3,18.0,1,0,14.4542,1,0
3,24.85649068152562,0,0,6.4375,1,0
3,1.0,1,1,16.7,0,1
1,36.0,0,0,75.2417,1,0
2,29.0,1,0,26.0,0,1
2,12.0,0,0,15.75,0,1
3,23.48348911297589,1,0,7.75,1,0
1,35.0,1,0,57.75,0,1
3,28.0,0,0,7.25,1,0
3,24.891517884451524,0,0,7.75,1,0
3,17.0,0,1,16.1,0,1
3,22.0,0,0,7.7958,1,0
3,20.768794684141465,2,0,23.25,0,1
2,42.0,0,0,13.0,1,0
3,24.0,0,0,8.05,1,0
3,32.0,0,0,8.05,1,0
1,53.0,0,0,28.5,1,0
3,20.038916140667993,0,4,25.4667,0,1
3,23.44846191004999,1,0,6.4375,1,0
3,43.0,0,0,7.8958,1,0
3,24.0,0,0,7.8542,1,0
3,26.5,0,0,7.225,1,0
2,26.0,0,0,13.0,1,0
3,23.0,0,0,8.05,0,1
3,40.0,1,6,46.9,1,0
3,10.0,5,2,46.9,0,1
1,33.0,0,0,151.55,0,1
1,61.0,1,3,262.375,1,0
2,28.0,0,0,26.0,1,0
1,42.0,0,0,26.55,1,0
3,31.0,3,0,18.0,1,0
1,40.54693258709707,0,0,51.8625,1,0
3,22.0,0,0,8.05,1,0
1,39.871407959240386,0,0,26.55,1,0
2,30.0,1,1,26.0,1,0
1,23.0,0,1,83.1583,0,1
3,24.895408906307978,0,0,7.8958,1,0
3,60.5,0,0,0.0,1,0
3,36.0,0,2,12.1833,0,1
3,13.0,4,2,31.3875,1,0
3,24.0,0,0,7.55,1,0
1,29.0,0,0,221.7792,0,1
3,23.0,0,0,7.8542,0,1
1,42.0,0,0,26.55,1,0
3,26.0,0,2,13.775,0,1
3,23.170751960700088,0,0,7.7333,0,1
3,7.0,1,1,15.2458,1,0
2,26.0,0,0,13.5,0,1
3,24.871502339922436,0,0,7.0,1,0
2,41.0,0,0,13.0,1,0
3,26.0,1,1,22.025,0,1
1,48.0,0,0,50.4958,1,0
3,18.0,2,2,34.375,1,0
1,38.18233331432667,0,0,27.7208,0,1
3,22.0,0,0,8.9625,0,1
3,24.886180405910434,0,0,7.55,1,0
3,27.0,0,0,7.225,1,0
3,23.0,1,0,13.9,1,0
3,24.877619090330526,0,0,7.2292,1,0
3,40.0,1,5,31.3875,1,0
2,15.0,0,2,39.0,0,1
2,20.0,0,0,36.75,0,1
1,54.0,1,0,55.4417,1,0
2,36.0,0,3,39.0,0,1
1,64.0,0,2,83.1583,0,1
2,30.0,0,0,13.0,1,0
1,37.0,1,1,83.1583,1,0
1,18.0,1,0,53.1,0,1
3,24.891517884451524,0,0,7.75,1,0
1,27.0,1,1,247.5208,0,1
2,40.0,0,0,16.0,1,0
2,21.0,0,1,21.0,0,1
3,17.0,2,0,8.05,1,0
3,11.753701322632509,8,2,69.55,0,1
2,40.0,0,0,13.0,1,0
2,34.0,1,0,26.0,1,0
1,39.856729893252385,0,0,26.0,1,0
3,11.5,1,1,14.5,1,0
2,61.0,0,0,12.35,1,0
2,8.0,0,2,32.5,1,0
3,33.0,0,0,7.8542,1,0
1,6.0,0,2,134.5,1,0
3,18.0,0,0,7.775,0,1
2,23.0,0,0,10.5,1,0
3,23.180871820013994,0,0,8.1125,0,1
3,23.3780249336255,0,0,15.5,0,1
3,0.33,0,2,14.4,1,0
1,47.0,1,0,227.525,1,0
2,8.0,1,1,26.0,0,1
2,25.0,0,0,10.5,1,0
1,39.84983653971657,0,0,25.7417,1,0
3,35.0,0,0,7.75,0,1
2,24.0,0,0,10.5,1,0
1,33.0,0,0,27.7208,0,1
3,25.0,0,0,7.8958,1,0
3,32.0,0,0,22.525,1,0
3,24.87283670955771,0,0,7.05,1,0
2,17.0,0,0,73.5,1,0
2,60.0,1,0,26.0,0,1
3,38.0,4,2,7.775,0,1
1,42.0,0,0,42.5,1,0
3,23.174645651295812,0,0,7.8792,0,1
1,57.0,1,1,164.8667,1,0
1,50.0,1,1,211.5,0,1
3,24.899524102263157,0,0,8.05,1,0
2,30.0,1,0,13.8583,0,1
3,21.0,0,0,8.05,1,0
2,22.0,0,0,10.5,0,1
3,21.0,0,0,7.7958,1,0
1,53.0,0,0,27.4458,0,1
3,21.56869398348232,0,2,15.2458,0,1
3,23.0,0,0,7.7958,1,0
3,23.17119764015827,0,0,7.75,0,1
3,40.5,0,0,15.1,1,0
2,36.0,0,0,13.0,1,0
2,14.0,0,0,65.0,1,0
1,21.0,0,0,26.55,0,1
3,21.0,1,0,6.4958,1,0
3,24.894965895589067,0,0,7.8792,1,0
1,39.0,1,0,71.2833,1,0
3,20.0,0,0,7.8542,1,0
1,64.0,1,0,75.25,1,0
3,20.0,0,0,7.225,1,0
2,18.0,1,1,13.0,0,1
1,48.0,1,0,106.425,0,1
1,55.0,0,0,27.7208,0,1
2,45.0,0,2,30.0,0,1
1,45.0,1,1,134.5,1,0
3,24.895187400948522,0,0,7.8875,1,0
3,22.099934163533987,1,2,23.45,1,0
1,41.0,1,0,51.8625,1,0
2,22.0,0,0,21.0,0,1
2,42.0,1,1,32.5,1,0
2,29.0,1,0,26.0,0,1
3,21.942086486858507,1,0,14.4542,0,1
2,0.92,1,2,27.75,0,1
3,20.0,0,0,7.925,1,0
1,27.0,1,0,136.7792,1,0
3,24.0,0,0,9.325,1,0
3,32.5,0,0,9.5,1,0
3,24.886180405910434,0,0,7.55,1,0
3,24.891517884451524,0,0,7.75,1,0
3,28.0,0,0,8.05,1,0
2,19.0,0,0,13.0,0,1
3,21.0,0,0,7.775,1,0
3,36.5,1,0,17.4,1,0
3,21.0,0,0,7.8542,1,0
2,29.0,0,2,23.0,0,1
3,1.0,1,1,12.1833,0,1
2,30.0,0,0,12.7375,1,0
3,24.895408906307978,0,0,7.8958,1,0
1,39.162857682910705,0,0,0.0,1,0
3,24.886180405910434,0,0,7.55,1,0
3,23.179203857969902,0,0,8.05,0,1
3,17.0,0,0,8.6625,1,0
1,46.0,0,0,75.2417,1,0
3,24.891517884451524,0,0,7.75,1,0
1,26.0,1,0,136.7792,0,1
3,21.969996162149865,1,0,15.5,0,1
3,24.877507003281163,0,0,7.225,1,0
2,20.0,1,0,26.0,0,1
2,28.0,0,0,10.5,1,0
2,40.0,1,0,26.0,1,0
2,30.0,1,0,21.0,1,0
2,22.0,0,0,10.5,1,0
3,23.0,0,0,8.6625,0,1
3,0.75,1,1,13.775,1,0
3,23.17119764015827,0,0,7.75,0,1
3,9.0,1,1,15.2458,0,1
3,2.0,1,1,20.2125,0,1
3,36.0,0,0,7.25,1,0
3,24.8781741880988,0,0,7.25,1,0
1,24.0,1,0,82.2667,1,0
3,24.877619090330526,0,0,7.2292,1,0
3,24.899524102263157,0,0,8.05,1,0
1,40.21967843404649,0,0,39.6,1,0
3,30.0,0,0,6.95,0,1
3,24.877619090330526,0,0,7.2292,1,0
1,53.0,1,1,81.8583,1,0
3,36.0,0,0,9.5,1,0
3,26.0,0,0,7.8958,1,0
2,1.0,1,2,41.5792,0,1
3,22.447194371972998,2,0,21.6792,1,0
1,30.0,0,0,45.5,1,0
3,29.0,0,0,7.8542,1,0
3,32.0,0,0,7.775,1,0
2,32.32530731011515,0,0,15.0458,1,0
2,43.0,0,1,21.0,1,0
3,24.0,0,0,8.6625,1,0
3,23.17119764015827,0,0,7.75,0,1
1,64.0,1,1,26.55,0,1
1,30.0,1,2,151.55,1,0
3,0.83,0,1,9.35,1,0
1,55.0,1,1,93.5,1,0
3,45.0,1,0,14.1083,0,1
3,18.0,0,0,8.6625,1,0
3,22.0,0,0,7.225,1,0
3,24.88684759072807,0,0,7.575,1,0
3,37.0,0,0,7.75,0,1
1,55.0,0,0,135.6333,0,1
3,17.0,0,0,7.7333,0,1
1,57.0,1,0,146.5208,1,0
2,19.0,0,0,10.5,1,0
3,27.0,0,0,7.8542,1,0
2,22.0,2,0,31.5,1,0
3,26.0,0,0,7.775,1,0
3,25.0,0,0,7.2292,1,0
2,26.0,0,0,13.0,1,0
1,33.0,0,0,26.55,1,0
1,39.0,0,0,211.3375,0,1
3,23.0,0,0,7.05,1,0
2,12.0,2,1,39.0,0,1
1,46.0,0,0,79.2,1,0
2,29.0,1,0,26.0,1,0
2,21.0,0,0,13.0,1,0
2,48.0,0,2,36.75,0,1
1,39.0,0,0,29.7,1,0
3,24.877507003281163,0,0,7.225,1,0
3,19.0,1,1,15.7417,0,1
3,27.0,0,0,7.8958,1,0
1,30.0,0,0,26.0,1,0
2,32.0,0,0,13.0,1,0
3,39.0,0,2,7.2292,1,0
2,25.0,0,0,31.5,1,0
3,24.877619090330526,0,0,7.2292,1,0
2,18.0,0,0,10.5,1,0
3,32.0,0,0,7.5792,1,0
3,17.02130841504411,1,9,69.55,1,0
1,58.0,0,1,512.3292,0,1
3,22.762355506278947,1,1,14.5,1,0
3,16.0,0,0,7.65,0,1
2,26.0,0,0,13.0,1,0
3,38.0,0,0,7.2292,0,1
2,24.0,0,0,13.5,1,0
2,31.0,0,0,21.0,0,1
1,45.0,0,1,63.3583,0,1
2,25.0,0,0,10.5,1,0
2,18.0,0,0,73.5,1,0
2,49.0,1,2,65.0,1,0
3,0.17,1,2,20.575,0,1
1,50.0,0,0,26.0,1,0
1,59.0,2,0,51.4792,0,1
3,24.894965895589067,0,0,7.8792,1,0
3,24.891517884451524,0,0,7.75,1,0
3,30.0,1,0,15.55,0,1
3,14.5,8,2,69.55,1,0
2,24.0,1,1,37.0042,0,1
2,31.0,0,0,21.0,0,1
3,27.0,0,0,8.6625,1,0
1,25.0,1,0,55.4417,0,1
3,15.300988170750855,1,9,69.55,0,1
3,23.662516149461855,1,0,14.4583,1,0
3,22.0,0,0,39.6875,0,1
1,45.0,0,1,59.4,0,1
2,29.0,0,0,13.8583,1,0
2,21.0,1,0,11.5,1,0
1,31.0,0,0,134.5,0,1
1,49.0,0,0,0.0,1,0
2,44.0,0,0,13.0,1,0
1,54.0,1,1,81.8583,0,1
1,45.0,0,0,262.375,0,1
3,22.0,2,0,8.6625,0,1
2,21.0,0,0,11.5,1,0
1,55.0,0,0,50.0,1,0
3,5.0,4,2,31.3875,1,0
3,24.891517884451524,0,0,7.75,1,0
3,26.0,0,0,7.8792,1,0
3,23.35133754092005,0,0,14.5,0,1
3,19.0,1,0,16.1,0,1
2,32.26737431803016,0,0,12.875,1,0
2,24.0,1,2,65.0,0,1
3,24.0,0,0,7.775,1,0
2,57.0,0,0,13.0,1,0
3,21.0,0,0,7.75,1,0
3,6.0,3,1,21.075,1,0
1,23.0,0,0,93.5,1,0
1,51.0,0,1,39.4,0,1
3,13.0,0,2,20.25,1,0
2,47.0,0,0,10.5,1,0
3,29.0,3,1,22.025,1,0
1,18.0,1,0,60.0,0,1
3,24.0,0,0,7.25,1,0
1,48.0,1,1,79.2,0,1
3,22.0,0,0,7.775,1,0
3,31.0,0,0,7.7333,1,0
1,30.0,0,0,164.8667,0,1
2,38.0,1,0,21.0,1,0
1,22.0,0,1,59.4,0,1
1,17.0,0,0,47.1,1,0
1,43.0,1,0,27.7208,1,0
2,20.0,0,0,13.8625,1,0
2,23.0,1,0,10.5,1,0
1,50.0,1,1,211.5,1,0
3,23.17041836829127,0,0,7.7208,0,1
3,3.0,1,1,13.775,0,1
3,23.17119764015827,0,0,7.75,0,1
1,37.0,1,0,90.0,0,1
3,28.0,0,0,7.775,0,1
3,24.899524102263157,0,0,8.05,1,0
1,39.0,0,0,108.9,0,1
3,38.5,0,0,7.25,1,0
3,24.899524102263157,0,0,8.05,1,0
3,22.97207304437618,1,1,22.3583,1,0
